gl_number,model_reaction_id,reaction_name,subsystem,gene_reaction_rule
1000110,r_0001,(R)-lactate:ferricytochrome-c 2-oxidoreductase,Pyruvate metabolism,(YDL174C and YEL039C) or (YDL174C and YJR048W) or (YEL039C and YEL071W) or (YEL071W and YJR048W)
1000111,r_0002,(R)-lactate:ferricytochrome-c 2-oxidoreductase,Pyruvate metabolism,(YDL178W and YEL039C) or (YDL178W and YJR048W)
1000112,r_0003,"(R,R)-butanediol dehydrogenase",Butanoate metabolism,YAL060W
1000113,r_0004,(S)-lactate:ferricytochrome-c 2-oxidoreductase,Pyruvate metabolism,(YEL039C and YML054C) or (YJR048W and YML054C)
1000114,r_0005,"1,3-beta-glucan synthase",Starch and sucrose metabolism,(YPR165W and YLR342W) or (YPR165W and YGR032W) or (YPR165W and YMR306W)
1000115,r_0006,"1,6-beta-glucan synthase",Starch and sucrose metabolism,YGR143W or YPR159W
1000116,r_0007,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase,Histidine metabolism,YIL020C
1000117,r_0012,1-pyrroline-5-carboxylate dehydrogenase,"Alanine, aspartate and glutamate metabolism",YHR037W
1000118,r_0013,"2,3-diketo-5-methylthio-1-phosphopentane degradation reaction",Cysteine and methionine metabolism,YEL038W and YMR009W
1000119,r_0014,"2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5'-phosphate deaminase",Riboflavin metabolism,YOL066C
1000120,r_0015,"2,5-diamino-6-ribosylamino-4(3H)-pyrimidinone 5'-phosphate reductase (NADPH)",Riboflavin metabolism,YBR153W
1000121,r_0016,2-aceto-2-hydroxybutanoate synthase,"Valine, leucine and isoleucine metabolism",(YCL009C and YMR108W) or YMR108W
1000122,r_0017,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase,Folate biosynthesis,YNL256W
1000123,r_0018,2-aminoadipate transaminase,Lysine metabolism,YER152C or YGL202W or YJL060W
1000124,r_0019,2-dehydropantoate 2-reductase,Pantothenate and coa biosynthesis,YHR063C
1000125,r_0020,2-deoxy-D-arabino-heptulosonate 7-phosphate synthetase,"Phenylalanine, tyrosine and tryptophan biosynthesis",YDR035W or YBR249C
1000126,r_0021,"2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase",Ubiquinone and other terpenoid-quinone biosynthesis,YDR204W and YGR255C and YLR201C and YML110C and YOL096C and YOR125C
1000127,r_0022,2-hexaprenyl-6-methoxyphenol monooxygenase,Ubiquinone and other terpenoid-quinone biosynthesis,YDR204W and YGR255C and YLR201C and YML110C and YOL096C and YOR125C
1000128,r_0023,2-isopropylmalate hydratase,"Valine, leucine and isoleucine metabolism",YGL009C
1000129,r_0024,2-isopropylmalate synthase,"Valine, leucine and isoleucine metabolism",YNL104C or YOR108W
1000130,r_0025,2-isopropylmalate synthase,"Valine, leucine and isoleucine metabolism",YNL104C
1000131,r_0026,2-keto-4-methylthiobutyrate transamination,Cysteine and methionine metabolism,YHR208W or YJR148W or YGL202W or YHR137W
1000132,r_0027,2-methylcitrate dehydratase,Lysine metabolism,YDR234W
1000133,r_0028,2-methylcitrate synthase,Propanoate metabolism,YPR001W
1000134,r_0029,2-oxo-4-methyl-3-carboxypentanoate decarboxylation,"Valine, leucine and isoleucine metabolism",
1000135,r_0030,2-oxo-4-methyl-3-carboxypentanoate decarboxylation,"Valine, leucine and isoleucine metabolism",
1000136,r_0032,"3',5'-bisphosphate nucleotidase",Sulfur metabolism,YOL064C
1000137,r_0033,"3',5'-cyclic-nucleotide phosphodiesterase",Purine metabolism,YGL248W or YOR360C
1000138,r_0034,"3',5'-cyclic-nucleotide phosphodiesterase",Purine metabolism,YOR360C
1000139,r_0035,"3',5'-cyclic-nucleotide phosphodiesterase",Purine metabolism,YOR360C
1000140,r_0036,"3',5'-cyclic-nucleotide phosphodiesterase",Purine metabolism,YOR360C
1000141,r_0037,"3',5'-cyclic-nucleotide phosphodiesterase",Purine metabolism,YOR360C
1000142,r_0038,"3,4-dihydroxy-2-butanone-4-phosphate synthase",Riboflavin metabolism,YDR487C
