,gl_number,met_id,role
0,1000100,1,SUBSTRATE
1,1000100,2,SUBSTRATE
2,1000100,3,SUBSTRATE
3,1000100,4,PRODUCT
4,1000100,5,PRODUCT
5,1000100,6,PRODUCT
6,1000101,4,SUBSTRATE
7,1000101,7,SUBSTRATE
8,1000101,9,SUBSTRATE
9,1000101,10,PRODUCT
10,1000101,11,PRODUCT
11,1000101,12,PRODUCT
12,1000102,12,SUBSTRATE
13,1000102,13,SUBSTRATE
14,1000102,15,PRODUCT
15,1000102,16,PRODUCT
16,1000103,2,SUBSTRATE
17,1000103,3,SUBSTRATE
18,1000103,6,PRODUCT
19,1000103,7,SUBSTRATE
20,1000103,10,PRODUCT
21,1000103,11,PRODUCT
22,1000103,16,SUBSTRATE
23,1000103,23,PRODUCT
24,1000104,7,SUBSTRATE
25,1000104,10,PRODUCT
26,1000104,11,PRODUCT
27,1000104,23,SUBSTRATE
28,1000104,29,PRODUCT
29,1000105,7,SUBSTRATE
30,1000105,10,PRODUCT
31,1000105,11,PRODUCT
32,1000105,29,SUBSTRATE
33,1000105,31,SUBSTRATE
34,1000105,33,PRODUCT
35,1000106,7,SUBSTRATE
36,1000106,10,PRODUCT
37,1000106,11,PRODUCT
38,1000106,33,SUBSTRATE
39,1000106,38,SUBSTRATE
40,1000106,41,PRODUCT
41,1000107,41,SUBSTRATE
42,1000107,43,PRODUCT
43,1000107,44,PRODUCT
44,1000108,13,SUBSTRATE
45,1000108,15,PRODUCT
46,1000108,44,SUBSTRATE
47,1000108,48,PRODUCT
48,1000109,2,PRODUCT
49,1000109,48,SUBSTRATE
50,1000109,50,PRODUCT
51,1000110,123,SUBSTRATE
52,1000110,635,SUBSTRATE
53,1000110,636,PRODUCT
54,1000110,1177,PRODUCT
55,1000111,125,SUBSTRATE
56,1000111,635,SUBSTRATE
57,1000111,636,PRODUCT
58,1000111,1179,PRODUCT
59,1000112,133,SUBSTRATE
60,1000112,1041,SUBSTRATE
61,1000112,118,PRODUCT
62,1000112,700,PRODUCT
63,1000112,1046,PRODUCT
64,1000113,148,SUBSTRATE
65,1000113,635,SUBSTRATE
66,1000113,636,PRODUCT
67,1000113,1177,PRODUCT
68,1000114,1287,SUBSTRATE
69,1000114,100,PRODUCT
70,1000114,700,PRODUCT
71,1000114,1282,PRODUCT
72,1000115,1287,SUBSTRATE
73,1000115,103,PRODUCT
74,1000115,700,PRODUCT
75,1000115,1282,PRODUCT
76,1000116,157,SUBSTRATE
77,1000116,320,PRODUCT
78,1000117,168,SUBSTRATE
79,1000117,713,SUBSTRATE
80,1000117,1043,SUBSTRATE
81,1000117,705,PRODUCT
82,1000117,885,PRODUCT
83,1000117,1048,PRODUCT
84,1000118,319,SUBSTRATE
85,1000118,709,SUBSTRATE
86,1000118,302,PRODUCT
87,1000118,646,PRODUCT
88,1000118,700,PRODUCT
89,1000118,1134,PRODUCT
90,1000119,189,SUBSTRATE
91,1000119,700,SUBSTRATE
92,1000119,709,SUBSTRATE
93,1000119,321,PRODUCT
94,1000119,409,PRODUCT
95,1000120,188,SUBSTRATE
96,1000120,700,SUBSTRATE
97,1000120,1054,SUBSTRATE
98,1000120,189,PRODUCT
99,1000120,1050,PRODUCT
100,1000121,222,SUBSTRATE
101,1000121,705,SUBSTRATE
