met_id,model_met_id,name,compartment
100,s_0001,(1->3)-beta-D-glucan,ce
101,s_0002,(1->3)-beta-D-glucan,c
102,s_0003,(1->3)-beta-D-glucan,e
103,s_0004,(1->6)-beta-D-glucan,ce
104,s_0006,"(2-amino-4-hydroxy-7,8-dihydropteridin-6-yl)methyl trihydrogen diphosphate",m
105,s_0007,(2E)-3-(methoxycarbonyl)pent-2-enedioic acid,c
106,s_0008,"(2R,3R)-2,3-dihydroxy-3-methylpentanoate",m
107,s_0009,"(2R,3S)-3-isopropylmalate",c
108,s_0010,(2S)-2-isopropyl-3-oxosuccinate,c
109,s_0011,(2S)-2-isopropyl-3-oxosuccinate,m
110,s_0012,"(2S,3R)-3-hydroxybutane-1,2,3-tricarboxylic acid",m
111,s_0013,"(5S,6S)-di-HETE",c
112,s_0014,"(5S,6S)-di-HETE",n
113,s_0015,(N(omega)-L-arginino)succinic acid,c
114,s_0016,"(R)-2,3-dihydroxy-3-methylbutanoate",m
115,s_0017,(R)-4'-phosphopantothenic acid,c
116,s_0018,(R)-5-diphosphomevalonic acid,c
117,s_0019,(R)-5-phosphomevalonic acid,c
118,s_0020,(R)-acetoin,c
119,s_0021,(R)-carnitine,c
120,s_0022,(R)-carnitine,e
121,s_0023,(R)-carnitine,m
122,s_0024,(R)-carnitine,p
123,s_0025,(R)-lactate,c
124,s_0026,(R)-lactate,e
125,s_0027,(R)-lactate,m
126,s_0028,(R)-mevalonate,c
127,s_0029,(R)-mevalonate,e
128,s_0030,(R)-pantoate,c
129,s_0031,(R)-pantothenate,c
130,s_0032,(R)-pantothenate,e
131,s_0033,(R)-S-lactoylglutathione,c
132,s_0034,(R)-S-lactoylglutathione,m
133,s_0035,"(R,R)-2,3-butanediol",c
134,s_0036,"(R,R)-2,3-butanediol",e
135,s_0037,"(S)-2,3-epoxysqualene",c
136,s_0038,"(S)-2,3-epoxysqualene",er
137,s_0039,(S)-2-acetyl-2-hydroxybutanoate,m
138,s_0042,(R)-3-hydroxydecanoyl-CoA,p
139,s_0045,(S)-3-hydroxyhexacosanoyl-CoA,p
140,s_0048,(R)-3-hydroxylauroyl-CoA,p
141,s_0051,(S)-3-hydroxypalmitoyl-CoA,p
142,s_0054,(S)-3-hydroxytetradecanoyl-CoA,p
143,s_0056,(S)-3-methyl-2-oxopentanoate,c
144,s_0058,(S)-3-methyl-2-oxopentanoate,e
145,s_0060,(S)-3-methyl-2-oxopentanoate,m
146,s_0061,(S)-dihydroorotate,c
147,s_0062,(S)-lactaldehyde,c
148,s_0063,(S)-lactate,c
149,s_0064,(S)-lactate,e
150,s_0065,(S)-lactate,m
151,s_0066,(S)-malate,c
152,s_0067,(S)-malate,e
153,s_0068,(S)-malate,m
154,s_0069,(S)-malate,p
155,s_0075,"1,3-bisphospho-D-glycerate",c
